*ID 1 | Tipo: 1 | Nome: PalavraReservada | Lexema: const | Linha: 1
*ID 2 | Tipo: 12 | Nome: Delimitador | Lexema: { | Linha: 1
*ID 3 | Tipo: 1 | Nome: PalavraReservada | Lexema: int | Linha: 2
*ID 4 | Tipo: 2 | Nome: Identificador | Lexema: max1 | Linha: 2
*ID 5 | Tipo: 10 | Nome: OperadorRelacional | Lexema: = | Linha: 2
*ID 6 | Tipo: 5 | Nome: Numero | Lexema: 10 | Linha: 2
*ID 7 | Tipo: 12 | Nome: Delimitador | Lexema: , | Linha: 2
*ID 8 | Tipo: 2 | Nome: Identificador | Lexema: max2 | Linha: 2
*ID 9 | Tipo: 10 | Nome: OperadorRelacional | Lexema: = | Linha: 2
*ID 10 | Tipo: 5 | Nome: Numero | Lexema: 10 | Linha: 2
*ID 11 | Tipo: 12 | Nome: Delimitador | Lexema: , | Linha: 2
*ID 12 | Tipo: 2 | Nome: Identificador | Lexema: xa | Linha: 2
*ID 13 | Tipo: 10 | Nome: OperadorRelacional | Lexema: = | Linha: 2
*ID 14 | Tipo: 5 | Nome: Numero | Lexema: 10 | Linha: 2
*ID 15 | Tipo: 12 | Nome: Delimitador | Lexema: ; | Linha: 2
*ID 16 | Tipo: 1 | Nome: PalavraReservada | Lexema: float | Linha: 3
*ID 17 | Tipo: 2 | Nome: Identificador | Lexema: pi | Linha: 3
*ID 18 | Tipo: 10 | Nome: OperadorRelacional | Lexema: = | Linha: 3
*ID 19 | Tipo: 5 | Nome: Numero | Lexema: 3.1415 | Linha: 3
*ID 20 | Tipo: 12 | Nome: Delimitador | Lexema: , | Linha: 3
*ID 21 | Tipo: 2 | Nome: Identificador | Lexema: k | Linha: 3
*ID 22 | Tipo: 10 | Nome: OperadorRelacional | Lexema: = | Linha: 3
*ID 23 | Tipo: 5 | Nome: Numero | Lexema: 12 | Linha: 3
*ID 24 | Tipo: 12 | Nome: Delimitador | Lexema: ; | Linha: 3
*ID 25 | Tipo: 1 | Nome: PalavraReservada | Lexema: bool | Linha: 4
*ID 26 | Tipo: 2 | Nome: Identificador | Lexema: a | Linha: 4
*ID 27 | Tipo: 10 | Nome: OperadorRelacional | Lexema: = | Linha: 4
*ID 28 | Tipo: 6 | Nome: Digito | Lexema: 3 | Linha: 4
*ID 29 | Tipo: 12 | Nome: Delimitador | Lexema: ; | Linha: 4
*ID 30 | Tipo: 12 | Nome: Delimitador | Lexema: } | Linha: 5
*ID 31 | Tipo: 1 | Nome: PalavraReservada | Lexema: class | Linha: 7
*ID 32 | Tipo: 2 | Nome: Identificador | Lexema: pessoa | Linha: 7
*ID 33 | Tipo: 12 | Nome: Delimitador | Lexema: { | Linha: 7
*ID 34 | Tipo: 1 | Nome: PalavraReservada | Lexema: variables | Linha: 8
*ID 35 | Tipo: 12 | Nome: Delimitador | Lexema: { | Linha: 8
*ID 36 | Tipo: 1 | Nome: PalavraReservada | Lexema: string | Linha: 9
*ID 37 | Tipo: 2 | Nome: Identificador | Lexema: nome | Linha: 9
*ID 38 | Tipo: 12 | Nome: Delimitador | Lexema: , | Linha: 9
*ID 39 | Tipo: 2 | Nome: Identificador | Lexema: endereco | Linha: 9
*ID 40 | Tipo: 12 | Nome: Delimitador | Lexema: ; | Linha: 9
*ID 41 | Tipo: 1 | Nome: PalavraReservada | Lexema: int | Linha: 10
*ID 42 | Tipo: 2 | Nome: Identificador | Lexema: idade | Linha: 10
*ID 43 | Tipo: 12 | Nome: Delimitador | Lexema: [ | Linha: 10
*ID 44 | Tipo: 6 | Nome: Digito | Lexema: 7 | Linha: 10
*ID 45 | Tipo: 12 | Nome: Delimitador | Lexema: ] | Linha: 10
*ID 46 | Tipo: 12 | Nome: Delimitador | Lexema: ; | Linha: 10
*ID 47 | Tipo: 12 | Nome: Delimitador | Lexema: } | Linha: 11
*ID 48 | Tipo: 12 | Nome: Delimitador | Lexema: } | Linha: 12
*ID 49 | Tipo: 1 | Nome: PalavraReservada | Lexema: class | Linha: 13
*ID 50 | Tipo: 2 | Nome: Identificador | Lexema: aluno | Linha: 13
*ID 51 | Tipo: 1 | Nome: PalavraReservada | Lexema: extends | Linha: 13
*ID 52 | Tipo: 2 | Nome: Identificador | Lexema: pessoa | Linha: 13
*ID 53 | Tipo: 12 | Nome: Delimitador | Lexema: { | Linha: 13
*ID 54 | Tipo: 1 | Nome: PalavraReservada | Lexema: variables | Linha: 14
*ID 55 | Tipo: 12 | Nome: Delimitador | Lexema: { | Linha: 14
*ID 56 | Tipo: 1 | Nome: PalavraReservada | Lexema: string | Linha: 15
*ID 57 | Tipo: 2 | Nome: Identificador | Lexema: curso | Linha: 15
*ID 58 | Tipo: 12 | Nome: Delimitador | Lexema: [ | Linha: 15
*ID 59 | Tipo: 12 | Nome: Delimitador | Lexema: ] | Linha: 15
*ID 60 | Tipo: 12 | Nome: Delimitador | Lexema: ; | Linha: 15
*ID 61 | Tipo: 1 | Nome: PalavraReservada | Lexema: int | Linha: 16
*ID 62 | Tipo: 2 | Nome: Identificador | Lexema: matricula | Linha: 16
*ID 63 | Tipo: 12 | Nome: Delimitador | Lexema: ; | Linha: 16
*ID 64 | Tipo: 1 | Nome: PalavraReservada | Lexema: float | Linha: 17
*ID 65 | Tipo: 2 | Nome: Identificador | Lexema: bolsa | Linha: 17
*ID 66 | Tipo: 12 | Nome: Delimitador | Lexema: ; | Linha: 17
*ID 67 | Tipo: 12 | Nome: Delimitador | Lexema: } | Linha: 18
*ID 68 | Tipo: 1 | Nome: PalavraReservada | Lexema: method | Linha: 20
*ID 69 | Tipo: 1 | Nome: PalavraReservada | Lexema: void | Linha: 20
*ID 70 | Tipo: 2 | Nome: Identificador | Lexema: imprimir | Linha: 20
*ID 71 | Tipo: 12 | Nome: Delimitador | Lexema: ( | Linha: 20
*ID 72 | Tipo: 2 | Nome: Identificador | Lexema: aluno | Linha: 20
*ID 73 | Tipo: 2 | Nome: Identificador | Lexema: x | Linha: 20
*ID 74 | Tipo: 12 | Nome: Delimitador | Lexema: [ | Linha: 20
*ID 75 | Tipo: 2 | Nome: Identificador | Lexema: max1 | Linha: 20
*ID 76 | Tipo: 12 | Nome: Delimitador | Lexema: ] | Linha: 20
*ID 77 | Tipo: 12 | Nome: Delimitador | Lexema: ) | Linha: 20
*ID 78 | Tipo: 12 | Nome: Delimitador | Lexema: { | Linha: 20
*ID 79 | Tipo: 1 | Nome: PalavraReservada | Lexema: variables | Linha: 21
*ID 80 | Tipo: 12 | Nome: Delimitador | Lexema: { | Linha: 21
*ID 81 | Tipo: 1 | Nome: PalavraReservada | Lexema: int | Linha: 22
*ID 82 | Tipo: 2 | Nome: Identificador | Lexema: i | Linha: 22
*ID 83 | Tipo: 12 | Nome: Delimitador | Lexema: ; | Linha: 22
*ID 84 | Tipo: 12 | Nome: Delimitador | Lexema: } | Linha: 23
*ID 85 | Tipo: 1 | Nome: PalavraReservada | Lexema: int | Linha: 25
*ID 86 | Tipo: 2 | Nome: Identificador | Lexema: i | Linha: 25
*ID 87 | Tipo: 10 | Nome: OperadorRelacional | Lexema: = | Linha: 25
*ID 88 | Tipo: 6 | Nome: Digito | Lexema: 9 | Linha: 25
*ID 89 | Tipo: 12 | Nome: Delimitador | Lexema: ; | Linha: 25
*ID 90 | Tipo: 1 | Nome: PalavraReservada | Lexema: while | Linha: 26
*ID 91 | Tipo: 12 | Nome: Delimitador | Lexema: ( | Linha: 26
*ID 92 | Tipo: 2 | Nome: Identificador | Lexema: i | Linha: 26
*ID 93 | Tipo: 10 | Nome: OperadorRelacional | Lexema: < | Linha: 26
*ID 94 | Tipo: 5 | Nome: Numero | Lexema: 10 | Linha: 26
*ID 95 | Tipo: 12 | Nome: Delimitador | Lexema: ) | Linha: 26
*ID 96 | Tipo: 12 | Nome: Delimitador | Lexema: { | Linha: 26
*ID 97 | Tipo: 1 | Nome: PalavraReservada | Lexema: write | Linha: 27
*ID 98 | Tipo: 12 | Nome: Delimitador | Lexema: ( | Linha: 27
*ID 99 | Tipo: 2 | Nome: Identificador | Lexema: x | Linha: 27
*ID 100 | Tipo: 12 | Nome: Delimitador | Lexema: [ | Linha: 27
*ID 101 | Tipo: 2 | Nome: Identificador | Lexema: i | Linha: 27
*ID 102 | Tipo: 12 | Nome: Delimitador | Lexema: ] | Linha: 27
*ID 103 | Tipo: 12 | Nome: Delimitador | Lexema: . | Linha: 27
*ID 104 | Tipo: 2 | Nome: Identificador | Lexema: nome | Linha: 27
*ID 105 | Tipo: 12 | Nome: Delimitador | Lexema: , | Linha: 27
*ID 106 | Tipo: 2 | Nome: Identificador | Lexema: x | Linha: 27
*ID 107 | Tipo: 12 | Nome: Delimitador | Lexema: [ | Linha: 27
*ID 108 | Tipo: 2 | Nome: Identificador | Lexema: i | Linha: 27
*ID 109 | Tipo: 12 | Nome: Delimitador | Lexema: ] | Linha: 27
*ID 110 | Tipo: 12 | Nome: Delimitador | Lexema: . | Linha: 27
*ID 111 | Tipo: 2 | Nome: Identificador | Lexema: endereco | Linha: 27
*ID 112 | Tipo: 12 | Nome: Delimitador | Lexema: , | Linha: 27
*ID 113 | Tipo: 2 | Nome: Identificador | Lexema: x | Linha: 27
*ID 114 | Tipo: 12 | Nome: Delimitador | Lexema: [ | Linha: 27
*ID 115 | Tipo: 2 | Nome: Identificador | Lexema: i | Linha: 27
*ID 116 | Tipo: 12 | Nome: Delimitador | Lexema: ] | Linha: 27
